name	value
Bill Sharman	1955-1956 1st Team
Bob Pettit	1955-1956 1st Team
Paul Arizin	1955-1956 1st Team
Neil Johnson	1955-1956 1st Team
Bob Cousy	1955-1956 1st Team
Slater Martin	1955-1956 2nd Team
Maurice Stokes	1955-1956 2nd Team
Dolph Schayes	1955-1956 2nd Team
Clyde Lovellette	1955-1956 2nd Team
Jack George	1955-1956 2nd Team
Bob Cousy	1956-1957 1st Team
Bob Pettit	1956-1957 1st Team
Paul Arizin	1956-1957 1st Team
Dolph Schayes	1956-1957 1st Team
Bill Sharman	1956-1957 1st Team
Maurice Stokes	1956-1957 2nd Team
George Yardley	1956-1957 2nd Team
Neil Johnson	1956-1957 2nd Team
Dick Garmaker	1956-1957 2nd Team
Slater Martin	1956-1957 2nd Team
Dolph Schayes	1957-1958 1st Team
George Yardley	1957-1958 1st Team
Bob Cousy	1957-1958 1st Team
Bill Sharman	1957-1958 1st Team
Bob Pettit	1957-1958 1st Team
Maurice Stokes	1957-1958 2nd Team
Tom Gola	1957-1958 2nd Team
Slater Martin	1957-1958 2nd Team
Bill Russell	1957-1958 2nd Team
Cliff Hagan	1957-1958 2nd Team
Bob Pettit	1958-1959 1st Team
Bill Russell	1958-1959 1st Team
Bob Cousy	1958-1959 1st Team
Bill Sharman	1958-1959 1st Team
Elgin Baylor	1958-1959 1st Team
Cliff Hagan	1958-1959 2nd Team
Dolph Schayes	1958-1959 2nd Team
Richie Guerin	1958-1959 2nd Team
Slater Martin	1958-1959 2nd Team
Paul Arizin	1958-1959 2nd Team
Bob Cousy	1959-1960 1st Team
Wilt Chamberlain	1959-1960 1st Team
Bob Pettit	1959-1960 1st Team
Elgin Baylor	1959-1960 1st Team
Gene Shue	1959-1960 1st Team
Jack Twyman	1959-1960 2nd Team
Dolph Schayes	1959-1960 2nd Team
Bill Russell	1959-1960 2nd Team
Eric Griffin	1959-1960 2nd Team
Bill Sharman	1959-1960 2nd Team
Bob Cousy	1960-1961 1st Team
Wilt Chamberlain	1960-1961 1st Team
Bob Pettit	1960-1961 1st Team
Elgin Baylor	1960-1961 1st Team
Oscar Robertson	1960-1961 1st Team
Tom Heinsohn	1960-1961 2nd Team
Dolph Schayes	1960-1961 2nd Team
Bill Russell	1960-1961 2nd Team
Larry Costello	1960-1961 2nd Team
Gene Shue	1960-1961 2nd Team
Jerry West	1961-1962 1st Team
Wilt Chamberlain	1961-1962 1st Team
Bob Pettit	1961-1962 1st Team
Elgin Baylor	1961-1962 1st Team
Oscar Robertson	1961-1962 1st Team
Tom Heinsohn	1961-1962 2nd Team
Jack Twyman	1961-1962 2nd Team
Bill Russell	1961-1962 2nd Team
Richie Guerin	1961-1962 2nd Team
Bob Cousy	1961-1962 2nd Team
Jerry West	1962-1963 1st Team
Bill Russell	1962-1963 1st Team
Bob Pettit	1962-1963 1st Team
Elgin Baylor	1962-1963 1st Team
Oscar Robertson	1962-1963 1st Team
Tom Heinsohn	1962-1963 2nd Team
Bailey Howell	1962-1963 2nd Team
Wilt Chamberlain	1962-1963 2nd Team
Hal Greer	1962-1963 2nd Team
Bob Cousy	1962-1963 2nd Team
Bob Pettit	1963-1964 1st Team
Wilt Chamberlain	1963-1964 1st Team
Elgin Baylor	1963-1964 1st Team
Oscar Robertson	1963-1964 1st Team
Jerry West	1963-1964 1st Team
Tom Heinsohn	1963-1964 2nd Team
John Havlicek	1963-1964 2nd Team
Hal Greer	1963-1964 2nd Team
Bill Russell	1963-1964 2nd Team
Jerry Lucas	1963-1964 2nd Team
Elgin Baylor	1964-1965 1st Team
Jerry Lucas	1964-1965 1st Team
Bill Russell	1964-1965 1st Team
Jerry West	1964-1965 1st Team
Oscar Robertson	1964-1965 1st Team
Bob Pettit	1964-1965 2nd Team
Gus Johnson	1964-1965 2nd Team
Wilt Chamberlain	1964-1965 2nd Team
Hal Greer	1964-1965 2nd Team
Sam Jones	1964-1965 2nd Team
