Kobe Bryant,G,layup,25,6
Kobe Bryant,G,jump,20,26
Yao Ming,C,layup,27,8
Yao Ming,C,turnaround jump,36,9
Luke Walton,F,jump bank,31,10
Derek Fisher,G,driving layup,25,6
Ronny Turiaf,C,driving layup,25,6
Ronny Turiaf,C,dunk,25,6
Tracy McGrady,G-F,jump,26,22
Shane Battier,F,jump,27,17
Mike James,G,driving reverse layup,25,6
Kwame Brown,C,dunk,25,6
Kobe Bryant,G,jump,11,23
Kobe Bryant,G,running reverse layup,25,6
Bonzi Wells,G-F,jump,13,21
Mike James,G,3pt,18,31
Yao Ming,C,turnaround jump,33,10
Kobe Bryant,G,jump,17,8
Shane Battier,F,3pt,27,31
Andrew Bynum,C,putback dunk,25,6
Mike James,G,3pt,8,27
Luke Walton,F,fade away jumper,25,9
Bonzi Wells,G-F,jump,22,18
Kwame Brown,C,slam dunk,25,6
Tracy McGrady,G-F,reverse dunk,25,6
Yao Ming,C,slam dunk,25,6
Mike James,G,3pt,41,26
Derek Fisher,G,3pt,49,16
Tracy McGrady,G-F,driving jump,21,9
Kobe Bryant,G,reverse layup,25,6
Derek Fisher,G,jump,10,14
Shane Battier,F,layup,25,6
Tracy McGrady,G-F,jump,17,25
Luke Walton,F,running jump,28,11
Chuck Hayes,C,layup,25,6
Kobe Bryant,G,running layup,25,6
Derek Fisher,G,fade away jumper,35,24
Tracy McGrady,G-F,turnaround fade away,25,20
Yao Ming,C,slam dunk,25,6
Tracy McGrady,G-F,slam dunk,25,6
Tracy McGrady,G-F,layup,25,6
Kobe Bryant,G,fade away jumper,17,9
Yao Ming,C,hook,22,8
Tracy McGrady,G-F,jump,36,19
Andrew Bynum,C,putback layup,25,6
Tracy McGrady,G-F,jump,17,27
Chris Mihm,C,turnaround jump,24,13
Kobe Bryant,G,fade away jumper,40,18
Mike James,G,layup,25,6
Jordan Farmar,G,running slam dunk,25,6
Chuck Hayes,C,layup,25,6
Bonzi Wells,G-F,tip,25,6
Tracy McGrady,G-F,jump,25,25
Kobe Bryant,G,jump,22,21
Yao Ming,C,turnaround fade away,38,12
Derek Fisher,G,running jump,32,18
Rafer Alston,G,3pt,43,24
Ronny Turiaf,C,running slam dunk,25,6
Yao Ming,C,hook,26,13
Yao Ming,C,turnaround jump,13,8
Kobe Bryant,G,running layup,25,6
Kobe Bryant,G,3pt,23,33
Jordan Farmar,G,driving layup,25,6
Kobe Bryant,G,running layup,25,6
Derek Fisher,G,jump,11,20
Shane Battier,F,3pt,4,23
LaMarcus Aldridge,F,jump,33,7
Tim Duncan,F,turnaround bank,29,10
LaMarcus Aldridge,F,jump,14,23
Tony Parker,G,jump,13,21
Joel Przybilla,C,dunk,25,6
Martell Webster,G-F,floating jump,34,8
Tony Parker,G,running jump,29,8
LaMarcus Aldridge,F,turnaround hook,35,10
Michael Finley,G-F,jump,11,23
Tony Parker,G,layup,25,7
Joel Przybilla,C,layup,25,8
Tony Parker,G,layup,25,8
Matt Bonner,F-C,layup,25,7
Travis Outlaw,F,jump,37,22
Matt Bonner,F-C,tip,25,6
Sergio Rodriguez,G,jump,19,25
Tim Duncan,F,hook,23,10
Steve Blake,G,3pt,42,23
Francisco Elson,G-F,dunk,25,8
Travis Outlaw,F,jump,28,10
Steve Blake,G,jump,5,8
Francisco Elson,G-F,dunk,25,8
Travis Outlaw,F,jump,31,25
Brent Barry,G,3pt,48,7
James Jones,F,layup,25,6
Francisco Elson,G-F,layup,25,7
Manu Ginobili,G,3pt,19,31
Travis Outlaw,F,driving bank hook,26,7
Steve Blake,G,layup,23,7
Fabricio Oberto,G,reverse layup,26,6
LaMarcus Aldridge,F,jump,26,11
Martell Webster,G-F,layup,24,6
Brent Barry,G,3pt,7,23
Tim Duncan,F,jump bank,29,8
Brent Barry,G,layup,25,6
Tim Duncan,F,hook,30,11
LaMarcus Aldridge,F,jump,10,14
Michael Finley,G-F,jump,37,14
Tim Duncan,F,layup,25,6
Martell Webster,G-F,step back jump,11,8
