Ray Allen,G,jump,4,14
Ray Allen,G,jump,18,9
Anderson Varejao,C,jump,25,9
Kevin Garnett,F-C,jump,18,11
Paul Pierce,F,step back jump,9,10
Anderson Varejao,C,layup,24,6
Anderson Varejao,C,layup,25,7
Kevin Garnett,F-C,jump,29,10
LeBron James,F,3pt,13,28
Mo Williams,G,jump,19,12
Zydrunas Ilgauskas,C,jump,41,14
Rasheed Wallace,G,jump,6,7
J.J. Hickson,F-C,layup,25,9
Rajon Rondo,G,layup,27,7
LeBron James,F,jump,42,17
Paul Pierce,F,layup,26,9
Jamario Moon,F,3pt,37,29
Daniel Gibson,G,jump,13,24
Paul Pierce,F,jump,40,19
LeBron James,F,layup,26,8
Eddie House,G,3pt,42,25
Mo Williams,G,3pt,39,29
Zydrunas Ilgauskas,C,jump,36,25
Ray Allen,G,step back jump,23,15
Jamario Moon,F,jump,44,11
Mo Williams,G,jump,25,11
Marquis Daniels,F,layup,24,7
Anthony Parker,G,jump,34,23
Marquis Daniels,F,jump,33,20
Shaquille O'Neal,C,jump,25,12
Paul Pierce,F,3pt,38,28
LeBron James,F,3pt,42,30
Ray Allen,G,jump,35,20
Shaquille O'Neal,C,hook,26,13
Anthony Parker,G,jump bank,33,13
Anderson Varejao,C,tip,24,5
Kendrick Perkins,C,jump,42,10
Daniel Gibson,G,3pt,11,27
Shaquille O'Neal,C,jump hook,16,10
LeBron James,F,jump,36,26
Ray Allen,G,layup,27,7
Shaquille O'Neal,C,jump hook,23,11
Paul Pierce,F,3pt,42,29
LeBron James,F,3pt,10,26
Anthony Parker,G,jump,8,10
Ray Allen,G,jump,11,23
Rajon Rondo,G,jump,18,23
Anthony Parker,G,3pt,1,8
Anderson Varejao,C,running jump,21,11
Ray Allen,G,3pt,46,20
Paul Pierce,F,3pt,5,22
Anderson Varejao,C,layup,25,8
Ray Allen,G,layup,24,6
Mo Williams,G,3pt,50,13
Rasheed Wallace,G,jump,37,13
Rasheed Wallace,G,3pt,12,29
Shelden Williams,F-C,layup,25,9
LeBron James,F,layup,25,7
Zydrunas Ilgauskas,C,jump,42,8
Mo Williams,G,3pt,38,29
Anthony Parker,G,running jump,20,11
Eddie House,G,3pt,42,26
Ray Allen,G,jump,40,18
Paul Pierce,F,jump,28,26
LeBron James,F,layup,26,7
Kendrick Perkins,C,jump,42,9
Rajon Rondo,G,jump,17,23
Shaquille O'Neal,C,layup,27,6
Kevin Garnett,F-C,slam dunk,25,7
Kevin Garnett,F-C,jump,41,16
Ray Allen,G,jump,8,15
Shaquille O'Neal,C,jump hook,25,14
Kevin Garnett,F-C,jump,33,8
Kendrick Perkins,C,jump,39,9
Rasheed Wallace,G,3pt,14,30
Anthony Parker,G,jump,43,12
Rasheed Wallace,G,3pt,6,21
Ray Allen,G,3pt,49,12
Rajon Rondo,G,putback layup,23,6
LeBron James,F,3pt,32,31
LeBron James,F,3pt,17,30
LaMarcus Aldridge,F,step back jump,43,18
Luis Scola,F,jump,21,6
Steve Blake,G,3pt,39,26
Aaron Brooks,G,3pt,36,28
Luis Scola,F,layup,25,6
Greg Oden,C,turnaround hook,33,5
Trevor Ariza,F,step back jump,38,19
Brandon Roy,G,pullup jump,27,21
Shane Battier,F,running jump,20,10
Shane Battier,F,3pt,8,24
Martell Webster,G-F,3pt,2,7
Shane Battier,F,driving layup,25,6
Aaron Brooks,G,running jump,21,13
Brandon Roy,G,3pt,40,25
Carl Landry,F,layup,25,6
David Andersen,C,jump,27,26
Travis Outlaw,F,3pt,16,29
Andre Miller,G,pullup jump,14,23
Carl Landry,F,hook,23,10
Brandon Roy,G,running jump,31,8
Travis Outlaw,F,running jump,32,11
Trevor Ariza,F,3pt,9,25
Rudy Fernandez,G,3pt,19,30
Aaron Brooks,G,3pt,38,27
Andre Miller,G,3pt,14,88
Pops Mensah-Bonsu,F-C,driving layup,25,6
Kyle Lowry,G,running reverse layup,25,6
Chase Budinger,F,pullup jump,18,11
Chase Budinger,F,jump,6,9
Andre Miller,G,driving layup,25,6
Kyle Lowry,G,step back jump,36,24
Shane Battier,F,floating jump,18,8
Andre Miller,G,turnaround jump,16,20
Luis Scola,F,hook,28,12
Trevor Ariza,F,3pt,10,25
Luis Scola,F,jump,9,12
Shane Battier,F,driving reverse layup,25,6
LaMarcus Aldridge,F,jump,20,24
Brandon Roy,G,jump,37,22
Luis Scola,F,layup,25,6
Steve Blake,G,3pt,47,17
Chuck Hayes,C,layup,25,6
Chuck Hayes,C,jump,10,10
Travis Outlaw,F,jump,11,21
Shane Battier,F,3pt,30,31
Rudy Fernandez,G,fade away jumper,8,8
Martell Webster,G-F,3pt,48,8
Martell Webster,G-F,reverse layup,25,6
Chuck Hayes,C,layup,25,6
Trevor Ariza,F,running jump,28,12
Travis Outlaw,F,running jump,19,7
Shane Battier,F,3pt,9,25
Brandon Roy,G,pullup jump,10,19
Trevor Ariza,F,pullup jump,15,22
Aaron Brooks,G,3pt,11,26
Brandon Roy,G,driving layup,25,6
Joel Przybilla,C,tip,25,6
Joel Przybilla,C,tip,25,6
Steve Blake,G,pullup jump,9,18
Carl Landry,F,jump,17,25
